Sanskrit,Without Sandhi,Multipule Morphology,Morph in Context,Samaasa structural analysis,Samaasa vigraha,Kaaraka relation,Category,Hindi Meaning,English Meaning,Derivational Meaning,Sandhi rules,Meter: Guru-Laghu
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(हैं),that,,,
परिचर्य-आत्मकम्,परिचर्यात्मकं,परिचर्य-आत्मकम्,परिचर्य-आत्मक{नपुं}{1;एक},<परिचर्य-आत्मकम्>Bs6,परिचर्या आत्मा यस्य तत् = परिचर्यात्मकम्,कर्ता 10,-,सब वर्णों की सेवा करना,you,,,
शूद्रस्य,शूद्रस्यापि,शूद्र{पुं}{6;एक},शूद्र{पुं}{6;एक},-,-,षष्ठीसम्बन्धः 9,-,शूद्र का,listen,,,
अपि,-,अपि{अव्य},अपि{अव्य},-,-,सम्बन्धः 6,-,भी,18.45.Jfrom whom,,,
स्व-भाव-जम्,स्वभावजम्,स्वभावज{पुं}{2;एक}/स्वभावज{नपुं}{1;एक}/स्वभावज{नपुं}{2;एक},स्वभाव-ज{नपुं}{1;एक},<<स्व-भाव>T6-जम्>U,"स्वस्य भावः = स्वभावः, स्वभावात् जायते = स्वभावजम्",विशेषणम् 9,-,स्वाभाविक,of all living entities,,,
कर्म,कर्म,कर्मन्{नपुं}{1;एक}/कर्मन्{नपुं}{2;एक},कर्मन्{नपुं}{1;एक},-,-,कर्तृसमानाधिकरणम् 10,-,कर्म,the emanation,,,
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(है),becomes,,,
18.44.Aस्वे,18.44.Bस्वे,18.44.Cस्व{पुं}{7;एक}/स्व{नपुं}{1;द्वि}/स्व{नपुं}{2;द्वि}/स्व{नपुं}{7;एक}/स्व{पुं}{1;बहु}/स्व{नपुं}{1;द्वि}/स्व{नपुं}{2;द्वि}/स्वा{स्त्री}{1;द्वि}/स्वा{स्त्री}{2;द्वि}/स्वा{स्त्री}{1;द्वि}/स्वा{स्त्री}{2;द्वि},18.44.Dस्व{नपुं}{7;एक},18.44.E-,18.44.F-,18.44.Gवीप्सा 2,18.44.H-,18.44.Iअपने,by whom,,,
स्वे,स्वे,स्व{पुं}{7;एक}/स्व{नपुं}{1;द्वि}/स्व{नपुं}{2;द्वि}/स्व{नपुं}{7;एक}/स्व{पुं}{1;बहु}/स्व{नपुं}{1;द्वि}/स्व{नपुं}{2;द्वि}/स्वा{स्त्री}{1;द्वि}/स्वा{स्त्री}{2;द्वि}/स्वा{स्त्री}{1;द्वि}/स्वा{स्त्री}{2;द्वि},स्व{नपुं}{7;एक},-,-,षष्ठीसम्बन्धः 3,-,अपने,this,,,
कर्मणि,कर्मण्यभिरतः,कर्मन्{नपुं}{7;एक},कर्मन्{नपुं}{7;एक},-,-,अधिकरणम् 7,-,कर्मों में,all,,,
अभिरतः,-,अभिरत{पुं}{1;एक},अभि रम्{कृत् प्रत्ययः:क्त;अभि रमुँ;भ्वादिः;पुं}{1;एक},-,-,विशेषणम् 5,-,तत्परता से लगा हुआ,pervaded,,,
नरः,नरः,नृ{पुं}{1;बहु}/नर{पुं}{1;एक},नर{पुं}{1;एक},-,-,कर्ता 7,-,मनुष्य,is,,,
संसिद्धिम्,संसिद्धिं,संसिद्धि{स्त्री}{2;एक},संसिद्धि{स्त्री}{2;एक},-,-,कर्म 7,-,भगवत्प्राप्तिरूप परम सिद्धि को,him,,,
लभते,लभते,लभ्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;डुलभँष्;भ्वादिः},लभ्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;डुलभँष्;भ्वादिः},-,-,-,-,प्राप्त हो जाता है,in his own duties,,,
स्व-कर्म-निरतः,स्वकर्मनिरतः,स्व-कर्मन्-नि रम्1{कृत् प्रत्ययः:क्त;नि रमुँ;भ्वादिः;पुं}{1;एक},स्व-कर्मन्-निरत{पुं}{1;एक},<<स्व-कर्म>T6-निरतः>T7,"स्वस्य कर्म = स्वकर्म, स्वकर्मणि निरतः = स्वकर्मनिरतः",कर्ता 11,-,अपने स्वाभाविक कर्म में लगा हुआ मनुष्य,by worshiping,,,
यथा,यथा,यथा{अव्य},यथा{अव्य},-,-,क्रियाविशेषणम् 11,-,जिस प्रकार के कर्म करके,a man,,,
सिद्धिम्,सिद्धिं,सिद्धि{स्त्री}{2;एक},सिद्धि{स्त्री}{2;एक},-,-,कर्म 11,-,परम सिद्धि को,perfection,,,
विन्दति,विन्दति,विद्3{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदॢँ;तुदादिः},विद्{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदॢँ;तुदादिः},-,-,-,-,प्राप्त होता है,achieves,,,
तत्,तच्छृणु,तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक},तद्{नपुं}{2;एक},-,-,कर्म 14,-,उस विधि को,18.46.Jperfectly done,,,
(त्वम्),-,(युष्मद्{1;एक}),(युष्मद्){1;एक},-,-,कर्ता 14,-,(तू),another's occupation,,,
शृणु,-,श्रु1{कर्तरि;लोट्;म;एक;परस्मैपदी;श्रु;भ्वादिः},श्रु{कर्तरि;लोट्;म;एक;परस्मैपदी;श्रु;भ्वादिः},-,-,-,-,सुन,imperfectly performed,,,
18.45.Aयतः,18.45.Bयतः,18.45.Cयतः{अव्य}/यत{पुं}{1;एक},18.45.Dयतः{अव्य},18.45.E-,18.45.F-,18.45.Gअपादानम् 4,18.45.H-,18.45.Iजिस परमेश्वर से,one's own occupation,,,
भूतानाम्,-,भूत{पुं}{6;बहु}/भूत{नपुं}{6;बहु}/भूता{स्त्री}{6;बहु}/भूता{स्त्री}{6;बहु},भूत{पुं}{6;बहु},-,-,षष्ठीसम्बन्धः 3,-,सम्पूर्ण प्राणियों की,better,,,
प्रवृत्तिः,प्रवृत्तिर्भूतानां,प्रवृत्ति{स्त्री}{1;एक},प्रवृत्ति{स्त्री}{1;एक},-,-,कर्ता 4,-,उत्पत्ति,is,,,
(भवति),-,(भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}/भवत्{पुं}{7;एक}),(भू){कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः},-,-,-,-,(होती है),prescribed duties according to one's nature,,,
येन,येन,येन{अव्य}/यद्{पुं}{3;एक}/यद्{नपुं}{3;एक},यद्{पुं}{3;एक},-,-,करणम् 9,-,जिससे,work,,,
इदम्,-,इदम्{नपुं}{1;एक}/इदम्{नपुं}{2;एक},इदम्{नपुं}{1;एक},-,-,विशेषणम् 7,-,यह,performing,,,
सर्वम्,सर्वमिदं,सर्व{पुं}{2;एक}/सर्व{नपुं}{1;एक}/सर्व{नपुं}{2;एक},सर्व{नपुं}{1;एक},-,-,कर्ता 9,-,समस्त जगत्,man,,,
ततम्,-,तन्1{कृत् प्रत्ययः:क्त;तनुँ;तनादिः;नपुं}{1;एक},तत{नपुं}{1;एक},-,-,कर्तृसमानाधिकरणम् 9,-,व्याप्त,sinful reactions,,,
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(है),never,,,
तम्,तमभ्यर्च्य,तद्{पुं}{2;एक},तद्{पुं}{2;एक},-,-,कर्म 12,-,उसकी (परमेश्वर की),achieve,,,
स्व-कर्मणा,स्वकर्मणा,स्वकर्मन्{नपुं}{3;एक},स्व-कर्मन्{नपुं}{3;एक},<स्व-कर्मणा>T6,स्वस्य कर्म = स्वकर्म तेन स्वकर्मणा,करणम् 12,-,अपने स्वाभाविक कर्मों द्वारा,18.47.JO son of Kunti,,,
अभ्यर्च्य,-,अभि ऋच्1{कृत् प्रत्ययः:ल्यप्;ऋचँ;तुदादिः}/अभि अर्च्1{कृत् प्रत्ययः:ल्यप्;अर्चँ;भ्वादिः}/अभि अर्च्2{कृत् प्रत्ययः:ल्यप्;अर्चँ;चुरादिः},अभि अर्च्{कृत् प्रत्ययः:ल्यप्;अभि अर्चँ;भ्वादिः},-,-,पूर्वकालः 15,-,पूजा करके,with fault,,,
मानवः,मानवः,मानव{पुं}{1;एक},मानव{पुं}{1;एक},-,-,कर्ता 15,-,मनुष्य,although,,,
सिद्धिम्,सिद्धिं,सिद्धि{स्त्री}{2;एक},सिद्धि{स्त्री}{2;एक},-,-,कर्म 15,-,परम सिद्धि को,born simultaneously,,,
विन्दति,विन्दति,विद्3{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदॢँ;तुदादिः},विद्{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदॢँ;तुदादिः},-,-,-,-,प्राप्त हो जाता है,work,,,
18.46.Aस्व-अनुष्ठितात्,18.46.B-,18.46.Cस्वनुष्ठित{पुं}{5;एक}/स्वनुष्ठित{नपुं}{5;एक},18.46.Dस्व-अनुष्ठित{पुं}{5;एक},18.46.E<स्व-अनुष्ठितात्>Tp,18.46.Fसम्यक् अनुष्ठितं = स्वनुष्ठितं तस्मात् स्वनुष्ठितात्,18.46.Gविशेषणम् 2,18.46.H-,18.46.Iअच्छी प्रकार आचरण किये हुए,never,,,
पर-धर्मात्,परधर्मात्स्वनुष्ठितात्,परधर्म{पुं}{5;एक},पर-धर्म{पुं}{5;एक},<पर-धर्मात्>T6,परेषां धर्मः = परधर्मः तस्मात् परधर्मात्,विभक्तम् 4,-,दूसरे के धर्म से,to be given up,,,
वि-गुणः,विगुणः,विगुण{पुं}{1;एक},विगुण{पुं}{1;एक},<वि-गुणः>Bs5,विगतः गुणः यस्मात् सः = विगुणः,विशेषणम् 4,-,गुणरहित,certainly,,,
स्व-धर्मः,-,स्वधर्म{पुं}{1;एक},स्वधर्म{पुं}{1;एक},<स्व-धर्मः>T6,स्वस्य धर्मः = स्वधर्मः,कर्ता 6,-,अपना धर्म,smoke,,,
श्रेयान्,श्रेयान्स्वधर्मो,श्रेय{पुं}{2;बहु}/श्रेयस्{पुं}{1;एक},श्रेयस्{पुं}{1;एक},-,-,कर्तृसमानाधिकरणम् 6,-,श्रेष्ठ,with,,,
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(है),fire,,,
स्व-भाव-नियतम्,स्वभावनियतं,स्वभाव-नियत{पुं}{2;एक}/नियत{नपुं}{1;एक}/नियत{नपुं}{2;एक},स्वभाव-नियत{नपुं}{2;एक},<<स्व-भाव>T6-नियतम्>T3,"स्वस्य भावः = स्वभावः, स्वभावैः नियतम् = स्वभावनियतम्",विशेषणम् 8,-,स्वभाव से नियत किये हुए,as,,,
कर्म,कर्म,कर्मन्{नपुं}{1;एक}/कर्मन्{नपुं}{2;एक},कर्मन्{नपुं}{2;एक},-,-,कर्म 9,-,स्वधर्मरूप कर्म को,any venture,,,
कुर्वन्,कुर्वन्नाप्नोति,कुर्वत्{पुं}{1;एक}/कुर्वत्{पुं}{1;एक},कृ{कृत् प्रत्ययः:शतृ;डुकृञ्;तनादिः;पुं}{1;एक},-,-,समानकालः 13,-,करता हुआ,fault,,,
(मनुष्यः),-,(मनुष्य{पुं}{1;एक}),(मनुष्य){पुं}{1;एक},-,-,कर्ता 13,-,(मनुष्य),with,,,
किल्बिषम्,किल्बिषम्,किल्बिष{नपुं}{1;एक}/किल्बिष{नपुं}{2;एक},किल्बिष{नपुं}{2;एक},-,-,कर्म 13,-,पाप को,covered,,,
न,-,न{अव्य},न{अव्य},-,-,सम्बन्धः 13,-,नहीं,are,,,
आप्नोति,-,आप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;आपॢँ;स्वादिः},आप्{कर्तरि;लट्;प्र;एक;परस्मैपदी;आपॢँ;स्वादिः},-,-,-,-,प्राप्त होता,18.48.Jeverywhere,,,
18.47.Aकौन्तेय,18.47.Bकौन्तेय,18.47.Cकौन्तेय{पुं}{8;एक},18.47.Dकौन्तेय{पुं}{8;एक},18.47.E-,18.47.F-,18.47.Gसम्बोध्यः 7,18.47.H-,18.47.Iहे कुन्तीपुत्र,unattached intelligence,,,
स-दोषम्,सदोषमपि,सदोष{पुं}{2;एक}/सदोष{नपुं}{1;एक}/सदोष{नपुं}{2;एक},स-दोष{नपुं}{2;एक},<स-दोषम्>BvS,दोषेण सहितम् = सदोषम्,विशेषणम् 5,-,दोषयुक्त होनेपर,without material desires,,,
अपि,-,अपि{अव्य},अपि{अव्य},-,-,सम्बन्धः 2,-,भी,control of the mind,,,
सहजम्,सहजं,सहज{पुं}{2;एक}/सहज{नपुं}{1;एक}/सहज{नपुं}{2;एक},सहज{नपुं}{2;एक},-,-,विशेषणम् 5,-,सहज,by the renounced order of life,,,
कर्म,कर्म,कर्मन्{नपुं}{1;एक}/कर्मन्{नपुं}{2;एक},कर्मन्{नपुं}{2;एक},-,-,कर्म 7,-,कर्म को,supreme,,,
न,न,न{अव्य},न{अव्य},-,-,सम्बन्धः 7,-,नहीं,perfection of non-reaction,,,
त्यजेत्,त्यजेत्,त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;त्यजँ;भ्वादिः},त्यज्{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;त्यजँ;भ्वादिः},-,-,-,-,त्यागना चाहिये,attains,,,
हि,हि,हि{अव्य},हि{अव्य},-,-,-,-,क्योंकि,18.49.Jwhich,,,
धूमेन,धूमेनाग्निरिवावृताः,धूम{पुं}{3;एक},धूम{पुं}{3;एक},-,-,प्रतियोगी 10,-,धूएँ के,of knowledge,,,
(सह),-,(सह{अव्य}),(सह){अव्य},-,-,अनुयोगी 11,-,(साथ),transcendental,,,
अग्निः,-,अग्नि{पुं}{1;एक},अग्नि{पुं}{1;एक},-,-,प्रतियोगी 12,-,अग्नि की,stage,,,
इव,-,इव{अव्य},इव{अव्य},-,-,अनुयोगी 13,-,भाँति,is,,,
सर्व-आरम्भाः,सर्वारम्भा,सर्वारम्भ{पुं}{1;बहु},सर्व-आरम्भ{पुं}{1;बहु},<सर्व-आरम्भाः>K1,सर्वे ते आरम्भाः = सर्वारम्भाः,कर्ता 17,-,सभी कर्म,as,,,
दोषेण,दोषेण,दोष{पुं}{3;एक},दोष{पुं}{3;एक},-,-,प्रतियोगी 15,-,दोष के,perfection,,,
(सह),-,(सह{अव्य}),(सह){अव्य},-,-,अनुयोगी 16,-,(साथ),achieving,,,
आवृताः,-,आवृत{पुं}{1;बहु}/आवृता{स्त्री}{1;बहु}/आवृता{स्त्री}{2;बहु},आङ् वृ{कृत् प्रत्ययः:क्त;आङ् वृञ्;स्वादिः;स्त्री}{1;बहु},-,-,कर्तृसमानाधिकरणम् 17,-,युक्त,man,,,
(सन्ति),-,(सत्{नपुं}{1;बहु}/सत्{नपुं}{2;बहु}/अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;बहु;परस्मैपदी;असँ;अदादिः},-,-,-,-,(हैं),the Supreme,,,
18.48.Aसर्वत्र,18.48.Bसर्वत्र,18.48.Cसर्वत्र{अव्य},18.48.Dसर्वत्र{अव्य},18.48.E-,18.48.F-,18.48.Gअधिकरणम् 8,18.48.H-,18.48.Iसर्वत्र,achieves,,,
अ-सक्त-बुद्धिः,असक्तबुद्धिः,अ-सक्त-बुद्धि{स्त्री}{1;एक},असक्त-बुद्धि{स्त्री}{1;एक},<<न-सक्त>Tn-बुद्धिः>Bs6,"न सक्तः = असक्तः, असक्ता बुद्धिः यस्य सः = असक्तबुद्धिः",विशेषणम् 4,-,आसक्तिरहित बुद्धिवाला,so,,,
विगत-स्पृहः,विगतस्पृहः,विगतस्पृह{पुं}{1;एक},विगत-स्पृह{पुं}{1;एक},<विगत-स्पृहः>Bs5,विगता स्पृहा यस्मात् सः = विगतस्पृहः,विशेषणम् 4,-,स्पृहारहित,O son of Kunti,,,
जित-आत्मा,जितात्मा,जितात्मन्{पुं}{1;एक},जित-आत्मन्{पुं}{1;एक},<जित-आत्मा>Bs6,जितः आत्मा यस्य सः = जितात्मा,कर्ता 8,-,जीते हुए अन्तःकरणवाला पुरुष,summarily,,,
सन्न्यासेन,सन्न्यासेनाधिगच्छति,सन्न्यास{पुं}{3;एक},सन्न्यास{पुं}{3;एक},-,-,करणम् 8,-,सांख्ययोग के द्वारा,certainly,,,
परमाम्,परमां,परमा{स्त्री}{2;एक},परमा{स्त्री}{2;एक},-,-,विशेषणम् 7,-,उस परम,from Me,,,
नैष्कर्म्य-सिद्धिम्,नैष्कर्म्यसिद्धिं,नैष्कर्म्यसिद्धि{स्त्री}{2;एक},नैष्कर्म्य-सिद्धि{स्त्री}{2;एक},<नैष्कर्म्य-सिद्धिं>T6,नैष्कर्म्यस्य सिद्धिः = नैष्कर्म्यसिद्धिः तम् नैष्कर्म्यसिद्धिम्,कर्म 8,-,नैष्कर्म्य-सिद्धि को,try to understand,,,
अधिगच्छति,-,अधि गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;गमॢँ;भ्वादिः},अधि गम्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अधि गमॢँ;भ्वादिः},-,-,-,-,प्राप्त होता है,18.50.Jfully purified,,,
18.49.Aया,18.49.Bया,18.49.Cयद्{स्त्री}{1;एक},18.49.Dयद्{स्त्री}{1;एक},18.49.E-,18.49.F-,18.49.Gकर्ता 5,18.49.H-,18.49.Iजो,by the intelligence,,,
ज्ञानस्य,ज्ञानस्य,ज्ञान{नपुं}{6;एक},ज्ञान{नपुं}{6;एक},-,-,षष्ठीसम्बन्धः 4,-,ज्ञानयोग की,such engagement,,,
परा,परा,परा{स्त्री}{1;एक}/परा{स्त्री}{1;एक},परा{स्त्री}{1;एक},-,-,विशेषणम् 4,-,परा,eating a small quantity,,,
निष्ठा,निष्ठा,निष्ठा{स्त्री}{1;एक},निष्ठा{स्त्री}{1;एक},-,-,कर्तृसमानाधिकरणम् 5,-,निष्ठा,the sense objects such as sound etc,,,
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(है),sense objects,,,
यथा,यथा,यथा{अव्य},यथा{अव्य},-,-,सम्बन्धः 12,-,जिस प्रकार से,giving up,,,
सिद्धिम्,सिद्धिं,सिद्धि{स्त्री}{2;एक},सिद्धि{स्त्री}{2;एक},-,-,कर्म 8,-,उसको (नैष्कर्म्य-सिद्धि को),living in a secluded place,,,
प्राप्तः,प्राप्तो,प्राप्त{पुं}{1;एक},प्र आप्{कृत् प्रत्ययः:क्त;प्र आपॢँ;स्वादिः;पुं}{1;एक},-,-,विशेषणम् 9,-,प्राप्त होकर,determination,,,
(मनुष्यः),-,(मनुष्य{पुं}{1;एक}),(मनुष्य){पुं}{1;एक},-,-,कर्ता 11,-,(मनुष्य),self,,,
ब्रह्म,ब्रह्म,ब्रह्मन्{नपुं}{2;एक},ब्रह्मन्{नपुं}{2;एक},-,-,कर्म 11,-,ब्रह्म को,regulated,,,
आप्नोति,-,आप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;आपॢँ;स्वादिः},आप्{कर्तरि;लट्;प्र;एक;परस्मैपदी;आपॢँ;स्वादिः},-,-,प्रतियोगी 6,-,प्राप्त होता है,"controller of speech, body and mind",,,
तथा,तथाप्नोति,तथा{अव्य},तथा{अव्य},-,-,अनुयोगी 17,-,उसको (प्रकार को),attachment and hatred,,,
कौन्तेय,कौन्तेय,कौन्तेय{पुं}{8;एक},कौन्तेय{पुं}{8;एक},-,-,सम्बोध्यः 17,-,हे कुन्तीपुत्र,having laid aside,,,
समासेन,समासेनैव,समास{पुं}{3;एक},समास{पुं}{3;एक},-,-,क्रियाविशेषणम् 17,-,संक्षेप में,detachment,,,
एव,-,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 14,-,ही,taken shelter of,,,
मे,मे,अस्मद्{6;एक},अस्मद्{5;एक},-,-,अपादानम् 17,-,मुझसे,also,,,
निबोध,निबोध,नि बुध्2{कर्तरि;लोट्;म;एक;परस्मैपदी;बुधिँर्;भ्वादिः},नि बुध्{कर्तरि;लोट्;म;एक;परस्मैपदी;नि बुधिँर्;भ्वादिः},-,-,-,-,समझ,false ego,,,
18.50.Aविशुद्धया,18.50.Bविशुद्धया,18.50.Cविशुद्धा{स्त्री}{3;एक},18.50.Dविशुद्धा{स्त्री}{3;एक},18.50.E-,18.50.F-,18.50.Gविशेषणम् 2,18.50.H-,18.50.Iविशुद्ध,false strength,,,
बुद्ध्या,बुद्ध्या,बुद्धि{स्त्री}{3;एक},बुद्धि{स्त्री}{3;एक},-,-,करणम् 3,-,बुद्धि से,false pride,,,
युक्तः,युक्तो,युक्त{पुं}{1;एक},युज्{कृत् प्रत्ययः:क्त;युजिँर्;रुधादिः;पुं}{1;एक},-,-,समुच्चितम् 17,-,युक्त,lust,,,
लघु-आशी,लघ्वाशी,लघ्वाशिन्{पुं}{1;एक},लघ्वाशिन्{पुं}{1;एक},<लघु-आशी>Bs6,लघु अशितुं शीलम् अस्य सः = लघ्वाशी,समुच्चितम् 17,-,हलका सात्त्विक और नियमित भोजन करनेवाला,anger,,,
शब्द-आदीन्,शब्दादीन्विषयांस्त्यक्त्वा,शब्दादि{पुं}{2;बहु},शब्द-आदि{पुं}{2;बहु},<शब्द-आदीन्>Bs6,शब्दः आदिः येषां ते = शब्दादयः तान् शब्दादीन्,विशेषणम् 6,-,शब्दादि,also,,,
विषयान्,-,विषय{पुं}{2;बहु},विषय{पुं}{2;बहु},-,-,कर्म 7,-,विषयों का,acceptance of material things,,,
त्यक्त्वा,-,त्यज्1{कृत् प्रत्ययः:क्त्वा;त्यजँ;भ्वादिः},त्यज्{कृत् प्रत्ययः:क्त्वा;त्यजँ;भ्वादिः},-,-,पूर्वकालः 32,-,त्याग करके,being delivered,,,
विविक्त-सेवी,विविक्तसेवी,विविक्तसेविन्{पुं}{1;एक},विविक्त-सेविन्{पुं}{1;एक},<विविक्त-सेवी>U,विविक्तान् सेवितुं शीलम् अस्य सः = विविक्तसेवी,समुच्चितम् 17,-,एकान्त और शुद्ध देश का सेवन करनेवाला,always,,,
धृत्या,धृत्यात्मानं,धृति{स्त्री}{3;एक},धृति{स्त्री}{3;एक},-,-,करणम् 11,-,सात्त्विक धारण-शक्ति के द्वारा,absorbed in trance,,,
आत्मानम्,-,आत्मन्{पुं}{2;एक},आत्मन्{पुं}{2;एक},-,-,कर्म 11,-,अन्तःकरण और इन्द्रियों का,without proprietorship,,,
नियम्य,नियम्य,नि यम्1{कृत् प्रत्ययः:ल्यप्;यमोँ;भ्वादिः}/नि यम्2{कृत् प्रत्ययः:ल्यप्;यमँ;भ्वादिः}/नि यम्3{कृत् प्रत्ययः:ल्यप्;यमँ;चुरादिः},नि यम्{कृत् प्रत्ययः:ल्यप्;नि यमोँ;भ्वादिः},-,-,पूर्वकालः 32,-,संयम करके,peaceful,,,
यत-वाक्-काय-मानसः,यतवाक्कायमानसः,यत-वाक्-काय-मानस{पुं}{1;एक},यत-वाच्-काय-मानस{पुं}{1;एक},<यत-<वाक्-काय-मानसः>Di>Bs6,"वाक् च कायम् च मानसः च = वाक्कायमानसाः, यतः वाक्कायमानसाः यस्य सः = यतवाक्कायमानसः",समुच्चितम् 17,-,मन वाणी और शरीर को वश में कर लेनेवाला,person,,,
राग-द्वेषौ,रागद्वेषौ,रागद्वेष{पुं}{1;द्वि}/रागद्वेष{पुं}{2;द्वि},राग-द्वेष{पुं}{2;द्वि},<राग-द्वेषौ>Di,रागः च द्वेषः च = रागद्वेषौ,कर्म 14,-,राग-द्वेष को,to become self-realized,,,
व्युदस्य,व्युदस्य,व्युद{पुं}{6;एक}/व्युद{नपुं}{6;एक},वि उत् अस्{कृत् प्रत्ययः:ल्यप्;वि उत् असँ;अदादिः},-,-,पूर्वकालः 32,-,सर्वथा नष्ट करके,is understood,,,
वैराग्यम्,वैराग्यं,वैराग्य{नपुं}{1;एक}/वैराग्य{नपुं}{2;एक},वैराग्य{नपुं}{2;एक},-,-,कर्म 16,-,भलीभाँति दृढ़ वैराग्य का,18.51.Jbeing one with the Absolute,,,
समुपाश्रितः,समुपाश्रितः,समुपाश्रित{पुं}{1;एक},सम् उप आङ् श्रि{कृत् प्रत्ययः:क्त;सम् उप आङ् श्रिञ्;भ्वादिः;पुं}{1;एक},-,-,समुच्चितम् 17,-,आश्रय लेनेवाला,fully joyful,,,
च,च,च{अव्य},च{अव्य},-,-,विशेषणम् 30,-,तथा,never,,,
अहङ्कारम्,अहङ्कारं,अहङ्कार{पुं}{2;एक},अहङ्कार{पुं}{2;एक},-,-,समुच्चितम् 23,-,अहंकार,laments,,,
बलम्,बलं,बल{पुं}{2;एक}/बल{नपुं}{1;एक}/बल{नपुं}{2;एक},बल{नपुं}{2;एक},-,-,समुच्चितम् 23,-,बल,he,,,
दर्पम्,दर्पं,दर्प{पुं}{2;एक},दर्प{पुं}{2;एक},-,-,समुच्चितम् 23,-,घमण्ड,never,,,
कामम्,कामं,कामम्{अव्य}/काम{पुं}{2;एक},काम{पुं}{2;एक},-,-,समुच्चितम् 23,-,काम,desires,,,
क्रोधम्,क्रोधं,क्रोध{पुं}{2;एक}/क्रोध{नपुं}{1;एक}/क्रोध{नपुं}{2;एक},क्रोध{पुं}{2;एक},-,-,समुच्चितम् 23,-,क्रोध,he,,,
च,च,च{अव्य},च{अव्य},-,-,कर्म 25,-,और,all,,,
परिग्रहम्,परिग्रहम्,परिग्रह{पुं}{2;एक},परिग्रह{पुं}{2;एक},-,-,समुच्चितम् 23,-,परिग्रह का,living entities,,,
विमुच्य,विमुच्य,वि मुच्1{कृत् प्रत्ययः:ल्यप्;मुचॢँ;तुदादिः}/वि मुच्2{कृत् प्रत्ययः:ल्यप्;मुचँ;चुरादिः},वि मुच्{कृत् प्रत्ययः:ल्यप्;वि मुचॢँ;तुदादिः},-,-,पूर्वकालः 32,-,त्याग करके,equally disposed,,,
नित्यम्,नित्यं,नित्य{पुं}{2;एक}/नित्य{नपुं}{1;एक}/नित्य{नपुं}{2;एक},नित्य{नपुं}{1;एक},-,-,विशेषणम् 27,-,निरन्तर,transcendental,,,
ध्यान-योग-परः,ध्यानयोगपरो,ध्यान-योग-पर{पुं}{1;एक}/पर{पुं}{1;एक},ध्यान-योग-पर{पुं}{1;एक},<<ध्यान-योग>Di-परः>Bs6,"ध्यानं च योगश्च = ध्यानयोगौ, ध्यानयोगौ परः यस्य इति = ध्यानयोगपरः",समुच्चितम् 17,-,ध्यानयोग के परायण रहनेवाला,My devotional service,,,
निर्-ममः,निर्ममः,निर्मम{पुं}{1;एक},निर्-मम{पुं}{1;एक},<निर्-ममः>Bvp,निर्गतः ममः यस्मात् = निर्ममः,समुच्चितम् 17,-,ममतारहित,gains,,,
शान्तः,शान्तो,शान्त{पुं}{1;एक}/शान्त{पुं}{1;एक},शान्त{पुं}{1;एक},-,-,समुच्चितम् 17,-,शान्तियुक्त,18.52.Jby pure devotional service,,,
(पुरुषः),-,(पुरुष{पुं}{1;एक}),(पुरुष){पुं}{1;एक},-,-,कर्ता 32,-,(पुरुष),he,,,
