संस्कृतम्,विभक्ति:,शब्दविश्लेषणम्,हिन्दी-विभक्ति:,हिन्दी अर्ध,English Meaning
महा-कपिः,-,महा-कपि{1}{पुं-ए.},महा-कपि+{0/ने},वानर सुग्रीव,the great monkey
किष्किन्धाम्,B-B,किष्किन्धा{2}{स्त्री-ए.},किष्किन्धा+{को2},किष्किन्धा,to kishkindha
राम-सहितः,B-A,राम-सहित{1}{पुं-ए.},राम-सहित+{0/ने},राम के साथ,with Rama
जगाम,B-v,गम्{कर्तरि लिट् प्रपु एक},गम्{कर्तरि लिट् प्रपु एक},गया,marched
च,-,च,च,और,and
गुहाम्,B-B,गुहा{2}{स्त्री-ए.},गुहा+{को2},गुफा,cave
तदा,-,तदा,तदा,तब,then
10.1.Aततः,10.1.CB-A,10.1.Dततः,10.1.Eततः,10.1.Fतब,10.1.Gthen
अगर्जत्,B-v,गर्ज्{कर्तरि लङ् प्रपु एक},गर्ज्{कर्तरि लङ् प्रपु एक},गरजा,roared
हरि-वरः,-,हरि-वर{1}{पुं-ए.},हरि-वर+{0/ने},वानर श्रेष्ठ,the monkey chief
सुग्रीवः,B-A,सुग्रीव{1}{पुं-ए.},सुग्रीव+{0/ने},सुग्रीव,Sugriva
हेम-पिङ्गलः,-,हेम-पिङ्गल{1}{पुं-ए.},हेम-पिङ्गल+{0/ने},हेम-पिङ्गलः,tawny as gold
तेन,B-C,तद्{3}{नपुं/पुं.-ए.},तद्+{से3},उससे,(distracted) by that
नादेन,B-C,नाद{3}{पुं-ए.},नाद+{से3},ध्वनि से,the king of the
महता,B-C,महत्{3}{नपुं/पुं.-ए.},महत्+{से3},उँची,great roar
निर्जगाम,B-v,निर्+गम्{कर्तरि लिट् प्रपु एक},निर्+गम्{कर्तरि लिट् प्रपु एक},निकला,Sallied forth
हरीश्वरः,B-A,हरीश्वर{1}{पुं-ए.},हरीश्वर+{0/ने},वानर राज (वाली),king of the monkeys (Vali)
11.1.Aअनु-मान्य,11.1.C-,11.1.Dअनु-मान्य,11.1.Eअनु-मान्य,11.1.Fअनु-मान्य,11.1.Ghaving reassured
तदा,-,तदा,तदा,तब,then
तारां,B-B,तारा{2}{स्त्री-ए.},तारा+{को2},तारां,Tara (Vali's wife)
सुग्रीवेण,B-C,सुग्रीव{3}{पुं-ए.},सुग्रीव+{से3},सुग्रीव से,convinced with sugriva
समागतः,B-A,समागत{1}{पुं-ए.},समागत+{0/ने},आया,came
नि-जघान,B-v,नि+हन्{कर्तरि लिट् प्रपु एक},नि+हन्{कर्तरि लिट् प्रपु एक},मार दिया,killed
च,-,च,च,और,and
तत्र,-,तत्र,तत्र,युद्ध में,in the course of that encounter
एनं,B-B,एतद्{2}{पुं-ए.},एतद्+{को2},इसे (बाली को),him(Vali)
शरेण,B-C,शर{3}{पुं-ए.},शर+{से3},बाण से,arrow
एकेन,B-C,एक{3}{पुं-ए.},एक+{से3},एक,single
राघवः,B-A,राघव{1}{पुं-ए.},राघव+{0/ने},राम ने,the scion of Raghu
12.1.Aततः,12.1.CB-A,12.1.Dततः,12.1.Eततः,12.1.Fतब,12.1.Gthen
सुग्रीव-वचनात्,B-A,सुग्रीव-वचन{5}{नपुं-ए.},सुग्रीव-वचन+{से},सुग्रीव-वचनात्,due to Sugriva's plea
हत्वा,-,हत्वा,हत्वा,मारकर,having killed
वालिनम्,B-B,वालिन्{2}{पुं-ए.},वालिन्+{को2},वाली को,to Vali
आहवे,B-G,आहव{7}{पुं-ए.},आहव+{में/पर},युद्ध में,in an encounter
सुग्रीवम्,B-B,सुग्रीव{2}{पुं-ए.},सुग्रीव+{को2},सुग्रीव को,Sugriva himself
एव,-,एव,एव,ही,alone
तद्-राज्ये,-,तद्-राज्य{7}{नपुं-1-ए.},तद्-राज्य+{में/पर},उस राज्य में,in Vali's throne
राघवः,B-A,राघव{1}{पुं-ए.},राघव+{0/ने},राम ने,the scion of Raghu
प्रत्यपादयत्,B-v,प्रति+पद्+णिच्{कर्तरि लङ् प्रपु एक},प्रति+पद्+णिच्{कर्तरि लङ् प्रपु एक},बैठाया,installed
1.Aश्लोक,1.C-,1.Dश्लोक,1.Eश्लोक,1.Fश्लोक,1.Gश्लोक
2.1.Aसः,2.1.CB-A,2.1.Dतद्{1}{पुं-ए.},2.1.Eतद्+{0/ने},2.1.Fवह हनुमान्,2.1.Ghe (Hanuman)
च,-,च,च,और,and
सर्वान्,B-B,सर्व{2}{पुं-ब.},सर्व+{को2},सभी,all
समानीय,-,समानीय,समानीय,बुलाकर (इकट्ठा करके),bringing together
वानरान्,B-B,वानर{2}{पुं-ब.},वानर+{को2},बन्दरा को,the monkeys
वानरर्षभः,B-A,वानरर्षभ{1}{पुं-ए.},वानरर्षभ+{0/ने},वानरों में श्रेष्ठ,Great among the monkeys
दिशः,B-B,दिश्{2}{स्त्री-ब.},दिश्+{को2},चारा दिशाओं में,in all directions
प्र-स्थापयामास,-,प्र-स्थापयामास,प्र-स्थापयामास,भेजा,sent
दिदृक्षुः,B-A,दिदृक्षु{1}{पुं-ए.},दिदृक्षु+{0/ने},देखने का इच्छुक,Desirous to see
जनकात्मजाम्,B-B,जनकात्मजा{2}{स्त्री-ए.},जनकात्मजा+{को2},जनक की पुत्री सीता को,to the daughter of Janaka(Sita)
3.1.Aततः,3.1.CB-A,3.1.Dततः,3.1.Eततः,3.1.Fउसके बाद,3.1.Gthereafter
गृधस्य,B-F,गृध{6}{पुं-ए.},गृध+{का},गिद्ध पक्षी के,vulture
वचनात्,B-A,वचन{5}{नपुं-ए.},वचन+{से},कथन से,according to the counsel
सम्पातेः,B-F,सम्पाति{6}{पुं-ए.},सम्पाति+{का},सम्पाति नाम के,Sampati by name
हनुमान्,B-A,हनुमत्{1}{पुं-ए.},हनुमत्+{0/ने},हनुमान्,Hanuman
बली,B-A,बलिन्{1}{पुं-ए.},बलिन्+{0/ने},बलवान्,mighty
शत-योजन-विस्तीर्णं,-,शत-योजन-विस्तीर्ण{2}{नपुं-ए.},शत-योजन-विस्तीर्ण+{को2},सौ योजन विस्तृत (चार सौ कोस),800 miles broad
पुप्लुवे,B-v,प्लु{कर्तरि लिट् प्रपु एक},प्लु{कर्तरि लिट् प्रपु एक},पार किया,leapt across
लवणार्णवम्,B-B,लवणार्णव{2}{पुं-ए.},लवणार्णव+{को2},खारा सागर को,brackish sea
4.1.Aतत्र,4.1.C-,4.1.Dतत्र,4.1.Eतत्र,4.1.Fवहाँ (लङ्का में),4.1.Gthere(in Lanka)
लङ्काम्,-,लङ्का{2}{स्त्री-ए.},लङ्का+{को2},लङ्काम्,Lanka
समासाद्य,-,समासाद्य,समासाद्य,पहुँच कर,having reached
पुरीम्,B-B,पुरी{2}{स्त्री-ए.},पुरी+{को2},नगरी को,the city
रावण-पालिताम्,B-8B-B,रावण-पालिता{2}{स्त्री-ए.},रावण-पालिता+{को2},रावण द्वारा पालित ,ruled over by Ravana
ददर्श,B-v,दृश्{कर्तरि लिट् प्रपु एक},दृश्{कर्तरि लिट् प्रपु एक},देखा,saw
सीताम्,B-B,सीत{2}{स्त्री-ए.},सीत+{को2},सीता को,Sita
ध्यायन्तीम्,B-B,ध्यायन्ती{2}{स्त्री-ए.},ध्यायन्ती+{को2},स्मरण करती हुई,contemplating(Rama)
अशोक-वनिकाम्,-,अशोक-वनिका{2}{स्त्री-ए.},अशोक-वनिका+{को2},अशोक वाटिका में,in the Ashoka grove
गताम्,B-B,गता{2}{स्त्री-ए.},गता+{को2},स्थित,confined
5.1.Aनि-वेदयित्वा,5.1.C-,5.1.Dनि-वेदयित्वा,5.1.Eनि-वेदयित्वा,5.1.Fसमर्पित कर,5.1.Ghaving presented
अभि-ज्ञानम्,-,अभि-ज्ञान{2}{नपुं-ए.},अभि-ज्ञान+{को2},परिचायक वस्तु,the souvenir
प्रवृत्तिम्,B-B,प्रवृत्ति{2}{स्त्री-ए.},प्रवृत्ति+{को2},घटनाओं को,incidents
वि-नि-वेद्य,-,वि-नि-वेद्य,वि-नि-वेद्य,बतलाकर,having described
च,-,च,च,और,and
समाश्वास्य,-,समाश्वास्य,समाश्वास्य,आश्वस्त कर,having consoled
च,-,च,च,और,and
वैदेहीम्,B-B,वैदेही{2}{स्त्री-ए.},वैदेही+{को2},सीता को,Sita
मर्दयामास,B-v,मर्द+णिच्{कर्तरि लिट् प्रपु एक},मर्द+णिच्{कर्तरि लिट् प्रपु एक},ध्वस्त कर दिया,demolished
तोरणम्,B-B,तोरण{2}{नपुं-ए.},तोरण+{को2},अशोक वाटिका के प्रवेश द्वार को,outer gate of Ashoka garden
6.1.Aपञ्च,6.1.CB-B,6.1.Dपञ्चन्{2}{पुं-ब.},6.1.Eपञ्चन्+{को2},6.1.Fपाँच,6.1.Gfive
सेनाग्रगान्,B-B,सेनाग्रग{2}{पुं-ब.},सेनाग्रग+{को2},सेनापतियों को,army commanders
हत्वा,-,हत्वा,हत्वा,मारकर,having killed
सप्त,B-B,सप्तन्{2}{पुं-ब.},सप्तन्+{को2},सात,seven
मन्त्रि-सुतान्,B-B,मन्त्रि-सुत{2}{पुं-ब.},मन्त्रि-सुत+{को2},मंत्रियों के पुत्रा को,sons of ministers
अपि,-,अपि,अपि,भी,also
शूरम्,B-B,शूर{2}{पुं-ए.},शूर+{को2},शौर्यगुणयुक्त,gallant
अक्षं,B-B,अक्ष{2}{पुं-ए.},अक्ष+{को2},अक्ष को,Aksa
च,-,च,च,और,and
निष्पिष्य,-,निष्पिष्य,निष्पिष्य,चूर्ण करके,having crushed
ग्रहणं,B-B,ग्रहण{2}{पुं-ए.},ग्रहण+{को2},ब्रह्मास्त्र बन्धन म,to be bound
समुपागमत्,B-v,सम+उप+गम्{कर्तरि लुङ् प्रपु एक},सम+उप+गम्{कर्तरि लुङ् प्रपु एक},पहुँच गया,allowed himself
7.1.Aअस्त्रेण,7.1.CB-C,7.1.Dअस्त्र{3}{नपुं-ए.},7.1.Eअस्त्र+{से3},7.1.Fब्रह्मास्त्र से,7.1.Gby Brahmastra
उन्मुक्तम्,B-B,उन्मुक्त{2}{पुं-ए.},उन्मुक्त+{को2},मुक्त,released
आत्मानम्,B-B,आत्मन्{2}{पुं-ए.},आत्मन्+{को2},अपने आप को,himself
ज्ञात्वा,-,ज्ञात्वा,ज्ञात्वा,जानकर,having known
पैतामहात्,B-A,पैतामह{5}{पुं-ए.},पैतामह+{से},ब्रह्मा से प्राप्त,received from Pitamaha Brahma
वरात्,B-A,वर{5}{पुं-ए.},वर+{से},वरदान के कारण,in consequence of boon by the missiles
मषर्यन्,B-A,मषर्यत्{1}{पुं-ए.},मषर्यत्+{0/ने},सहन करते हुए,bearing with
राक्षसान्,-,राक्षस{2}{पुं-ब.},राक्षस+{को2},राक्षसों को,demons
वीरः,B-A,वीर{1}{पुं-ए.},वीर+{0/ने},वीर,the hero (Hanuman)
यन्त्रिणः,-,यन्त्रिन्{1}{पुं-ब.},यन्त्रिन्+{0/ने},बांधकर ले जानेवाले,who can bind him in bondage
तान्,-,तान्,तान्,उनको,those
यदृच्छया,-,यदृच्छा{1}{स्त्री-ए.},यदृच्छा+{से3},अपनी इच्छा से,deliberately
8.1.Aततः,8.1.CB-A,8.1.Dततः},8.1.Eततः,8.1.Fउसके बाद,8.1.Gthereafter
दग्ध्वा,-,दग्ध्वा,दग्ध्वा,जलाकर,having set on fire
पुरीं,B-B,पुरी{2}{स्त्री-ए.},पुरी+{को2},पुरीं,the city
लङ्काम्,-,लङ्का{2}{स्त्री-ए.},लङ्का+{को2},लङ्काम्,to the Lanka by name
ऋते,-,ऋते,ऋते,छोड.कर,leaving
सीतां,B-B,सीता{2}{स्त्री-ए.},सीता+{को2},सीतां,सीतां
च,-,च,च,और,and
मैथिलीम्,B-B,मैथिली{2}{स्त्री-ए.},मैथिली+{को2},मिथिला नरेश की पुत्री,to the princess of Mithila
रामाय,B-D,राम{4}{पुं-ए.},राम+{को4},राम को,to Rama
प्रियम्,B-B,प्रिय{2}{पुं-ए.},प्रिय+{को2},प्रिय,delightful
आख्यातुम्,-,आख्यातुम्,आख्यातुम्,कहने के लिए,to say
पुनः,-,पुनः,पुनः,फिर,again
आयात्,B-v,आ+या{कर्तरि लङ् प्रपु एक},आ+या{कर्तरि लङ् प्रपु एक},आया,returned back
महा-कपिः,-,महा-कपि{1}{पुं-ए.},महा-कपि+{0/ने},वानर श्रेष्ठ (हनुमान्),the great monkey (Hanuman)
9.1.Aसः,9.1.CB-A,9.1.Dतद्{1}{पुं-ए.},9.1.Eतद्+{0/ने},9.1.Fवह हनुमान्,9.1.Ghe (Hanuman)
अभि-गम्य,-,अभि-गम्य,अभि-गम्य,पास जाकर,having approached
महात्मानम्,B-B,महात्मन्{2}{पुं-ए.},महात्मन्+{को2},महान्,high souled
कृत्वा,-,कृत्वा,कृत्वा,करके,having done
रामं,B-B,राम{2}{पुं-ए.},राम+{को2},रामं,to Rama
प्र-दक्षिणम्,-,प्र-दक्षिण{2}{नपुं-ए.},प्र-दक्षिण+{को2},प्र-दक्षिणम्,moving around clockwise
न्यवेदयत्,-,न्यवेदयत्,न्यवेदयत्,निवेदन किया,submitted
अमेयात्मा,-,अमेयात्मन्{1}{पुं-ए.},अमेयात्मन्+{0/ने},अपरिमेय बुद्धि सम्पन्न,having unmeasurable intelligence
दृष्टा,-,दृष्टा,दृष्टा,देखी गई,had been seen
सीता,-,सीता{1}{स्त्री-ए.},सीता+{0/ने},सीता,Sita
इति,-,इति,इति,इस प्रकार,that
तत्त्वतः,-,तत्त्वतः,तत्त्वतः,वस्तुतः,in reality
10.1.Aततः,10.1.CB-A,10.1.Dततः,10.1.Eततः,10.1.Fउसके बाद,10.1.Gthereafter
सुग्रीव-सहितः,B-A,सुग्रीव-सहित{1}{पुं-ए.},सुग्रीव-सहित+{0/ने},सुग्रीव के साथ,accompanied by Sugriva
गत्वा,-,गत्वा,गत्वा,जाकर,having moved
तीरं,B-B,तीर{2}{नपुं-ए.},तीर+{को2},तट को,to the shore
महोदधेः,B-F,महोदधि{6}{पुं-ए.},महोदधि+{का},समुद्र के,of the great ocean
समुद्रं,B-B,समुद्र{2}{पुं-ए.},समुद्र+{को2},समुद्र को,to the sea
क्षोभयामास,B-v,क्षुभ+णिच्{कर्तरि लिट् प्रपु एक},क्षुभ+णिच्{कर्तरि लिट् प्रपु एक},आकुल किया,shook to its lowest depth
शरैः,B-C,शर{3}{पुं-ब.},शर+{से3},बाणों से,with arrows
आदित्य-सन्निभैः,B-C,आदित्य-सन्निभ{3}{पुं-ब.},आदित्य-सन्निभ+{से3},आदित्य-सन्निभैः,like the glorious sun
11.1.Aदर्शयामास,11.1.CB-v,11.1.Dदृश्+णिच्{कर्तरि लिट् प्रपु एक},11.1.Eदृश्+णिच्{कर्तरि लिट् प्रपु एक},11.1.Fदिखाया,11.1.Grevealed
च,-,च,च,और,and
आत्मानम्,B-B,आत्मन्{2}{पुं-ए.},आत्मन्+{को2},अपने आप को,himself
समुद्रः,B-A,समुद्र{1}{पुं-ए.},समुद्र+{0/ने},समुद्र,ocean
सरितां,B-F,सरित्{6}{स्त्री-ब.},सरित्+{का},नदिया के,of the rivers
पतिः,B-A,पति{1}{पुं-ए.},पति+{0/ने},पति,the lord
समुद्र-वचनात्,B-A,समुद्र-वचन{5}{नपुं-ए.},समुद्र-वचन+{से},समुद्र-कथन से,at the intercession of the sea
च,-,च,च,और,and
एव,-,एव,एव,ही,only
नलं,B-B,नल{2}{पुं-ए.},नल+{को2},नल से,by Nala
सेतुम्,B-B,सेतु{2}{पुं-ए.},सेतु+{को2},पुल,a bridge
अकारयत्,B-v,कृ+णिच्{कर्तरि लङ् प्रपु एक},कृ+णिच्{कर्तरि लङ् प्रपु एक},बनवाया,caused to build
1.Aश्लोक,1.C-,1.Dश्लोक,1.Eश्लोक,1.Fश्लोक,1.Gश्लोक
2.1.Aतेन,2.1.CB-C,2.1.Dतद्{3}{नपुं/पुं.-ए.},2.1.Eतद्+{से3},2.1.Fउस पुल से,2.1.Gwith that
गत्वा,-,गत्वा,गत्वा,जाकर,having reached
पुरीम्,B-B,पुरी{2}{स्त्री-ए.},पुरी+{को2},पुरी को,to the city
लङ्काम्,-,लङ्का{2}{स्त्री-ए.},लङ्का+{को2},लङ्का को,Lanka
हत्वा,-,हत्वा,हत्वा,मारकर,having killed
रावणम्,B-B,रावण{2}{पुं-ए.},रावण+{को2},रावण को,to Ravana
आहवे,-,आहव{7}{पुं-ए.},आहव+{में/पर},युद्ध में,in combat
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri Rama
सीताम्,B-B,सीता{2}{स्त्री-ए.},सीता+{को2},सीता को,to Sita
अनु-प्राप्य,-,अनुप्राप्य,अनुप्राप्य,प्राप्त कर,having got back
पराम्,B-B,परा{2}{स्त्री-ए.},परा+{को2},अत्यधिक,great
व्रीडाम्,B-B,व्रीडा{2}{स्त्री-ए.},व्रीडा+{को2},लज्जा को,sense of shame
उपागमत्,B-v,उप+आ+गम्{कर्तरि लुङ् प्रपु एक},उप+आ+गम्{कर्तरि लुङ् प्रपु एक},अनुभव किया,experienced(felt)
3.1.Aताम्,3.1.CB-B,3.1.Dतद्{2}{स्त्री-ए.},3.1.Eतद्+{को2},3.1.Fउस (सीता) को,3.1.Gto her(Sita)
उवाच,B-v,वच्{कर्तरि लिट् प्रपु एक},वच्{कर्तरि लिट् प्रपु एक},बोले,spoke
ततः,B-A,ततः,ततः,तब,then
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri Rama
परुषम्,B-B,परुष{2}{नपुं-ए.},परुष+{को2},कठोर,harsh (words)
जन-संसदि,-,जन-संसद्{7}{स्त्री-ए.},जन-संसद्+{में/पर},लोगों के समुदाय में,in the assembly
अमृष्यमाणा,-,अमृष्यमाणा{1}{स्त्री-ए.},अमृष्यमाणा+{0/ने},न सहन करती हुई,resenting
सा,-,तद्{1}{स्त्री-ए.},तद्+{0/ने},वह (सीता),she
सीता,-,सीता{1}{स्त्री-ए.},सीता+{0/ने},सीता,Sita
विवेश,-,विवेश,विवेश,प्रवेश कर गयी,entered
ज्वलनम्,-,ज्वलन{2}{नपुं-ए.},ज्वलन+{को2},अग्नि (में),in fire
सती,-,सती{1}{स्त्री-ए.},सती+{0/ने},सती,chaste
4.1.Aततः,4.1.CB-A,4.1.Dततः,4.1.Eततः,4.1.Fतब,4.1.Gthen
अग्नि-वचनात्,B-A,अग्नि-वचन{1}{नपुं-ए.},अग्नि-वचन+{0/ने},अग्निदेव के वचन से,from the words of fire god
सीताम्,B-B,सीता{2}{स्त्री-ए.},सीता+{को2},सीता को,Sita
ज्ञात्वा,-,ज्ञात्वा,ज्ञात्वा,जानकर,having known
विगत-कल्मषाम्,-,विगत-कल्मषा{2}{स्त्री-ए.},विगत-कल्मषा+{को2},दोषरहित,sinless
कर्मणा,B-C,कर्मन्{3}{नपुं-ए.},कर्मन्+{से3},कार्य से,feat(achievment)
तेन,-,तद्{3}{पुं-ए.},तद्+{से3},पूर्वोक्त,with that
महता,B-C,महत्{3}{नपुं/पुं.-ए.},महत्+{से3},श्रेष्ठ,remarkable
त्रैलोक्यम्,B-A,त्रैलोक्य{1}{नपुं-ए.},त्रैलोक्य+{0/ने},तीनों लोक,all the three worlds
स-चराचरम्,-,स-चराचर{1}{नपुं-ए.},स-चराचर+{0/ने},जड एवं चेतन,comprising animate and inanimate creature
5.1.Aस-देवर्षि-गणं,5.1.C-,5.1.Dस-देवर्षि-गण{1}{नपुं-ए.},5.1.Eस-देवर्षि-गण+{0/ने},5.1.Fदेवर्षिगणों से,5.1.G
तुष्टं,B-A,तुष्ट{1}{नपुं-ए.},तुष्ट+{0/ने},प्रसन्न हुए,pleased
राघवस्य,B-F,राघव{6}{पुं-ए.},राघव+{का},राम के,of shri Rama
महात्मनः,-,महात्मन्{6}{पुं-ए.},महात्मन्+{का},महापुरुष,of the high souled
बभौ,B-v,भा{कर्तरि लिट् प्रपु एक},भा{कर्तरि लिट् प्रपु एक},हुए,was
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri Rama
सम्-प्रहृष्टः,-,सम्-प्रहृष्ट{1}{पुं-ए.},सम्-प्रहृष्ट+{0/ने},प्रसन्न हुए,extremely delighted
पूजितः,B-A,पूजित{1}{पुं-ए.},पूजित+{0/ने},पूजित,honoured
सर्व-दैवतैः,-,सर्व-दैवत{3}{नपुं-ए.},सर्व-दैवत+{से3},सभी देवताओं से,by all the gods
6.1.Aअभि-षिच्य,6.1.C-,6.1.Dअभि-षिच्य,6.1.Eअभि-षिच्य,6.1.Fअभिषिक्त कर,6.1.Ghaving installed
च,-,च,च,और,and
लङ्कायाम्,-,लङ्काया{7}{स्त्री-ए.},लङ्काया+{में/पर},लङ्का में,on the throne of Lanka
राक्षसेन्द्रम्,B-B,राक्षसेन्द्र{2}{पुं-ए.},राक्षसेन्द्र+{को2},राक्षसराज,the chief of ogres
वि-भीषणम्,-,वि-भीषण{2}{पुं-ए.},वि-भीषण+{को2},वि-भीषणम्,Vibhishana
कृत-कृत्यः,-,कृत-कृत्य{1}{पुं-ए.},कृत-कृत्य+{0/ने},कृत-कृत्यः,felt accomplished of purpose
तदा,-,तदा,तदा,उसी दिन,then
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri Rama
वि-ज्वरः,-,वि-ज्वर{1}{पुं-ए.},वि-ज्वर+{0/ने},वि-ज्वरः,rid of anxiety
प्र-मुमोद,-,प्र-मुमोद,प्र-मुमोद,प्र-मुमोद,greatly rejoiced
ह,-,ह,ह,ह,ह
85,-,85,85,85,85
7.1.Aदेवताभ्यः,7.1.CB-A,7.1.Dदेवता{5}{स्त्री-ए.},7.1.Eदेवता+{से},7.1.Fदेवताौओं से,7.1.Gfrom the gods
वरम्,B-B,वर{2}{पुं-ए.},वर+{को2},वरदान,a boon
प्राप्य,-,प्राप्य,प्राप्य,प्राप्त कर,having received
समुत्थाप्य,-,समुत्थाप्य,समुत्थाप्य,सचेत करके,having aroused
च,-,च,च,और,and
वानरान्,-,वानर{2}{पुं-ब.},वानर+{को2},वानरान्,to the monkeys
अयोध्याम्,B-B,अयोध्या{2}{स्त्री-ए.},अयोध्या+{को2},अयोध्या (की ओर),to Ayodhaya
प्र-स्थितः,-,प्र-स्थित{1}{पुं-ए.},प्र-स्थित+{0/ने},प्र-स्थितः,flew
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri Rama
पुष्पकेण,B-C,पुष्पक{3}{पुं-ए.},पुष्पक+{से3},पुष्पक विमान से,by pushpaka
सुहृद्-वृतः,-,सुहृद्-वृत{1}{पुं-ए.},सुहृद्-वृत+{0/ने},सुहृद्-वृतः,accompanied by his relations and friends
8.1.Aभरद्वाजाश्रमम्,8.1.C-,8.1.Dभरद्वाजाश्रम{2}{पुं-ए.},8.1.Eभरद्वाजाश्रम+{को2},8.1.Fभरद्वाज के आश्रम,8.1.Gthe hermitage of the sage
गत्वा,-,गत्वा,गत्वा,जाकर,having reached
आ-रामः,B-A,आ-राम{1}{पुं-ए.},आ-राम+{0/ने},आ-राम,one who gives pleasure to all
सत्य-पराक्रमः,-,सत्य-पराक्रमः{1}{पुं-ए.},सत्य-पराक्रमः+{0/ने},सत्य-पराक्रमः,having unfailing prowess
भरतस्य,-,भरत{6}{पुं-ए.},भरत+{का},भरत के,of Bharata
अन्तिके,-,अन्तिक{7}{नपुं-ए.},अन्तिक+{में/पर},समीप,to the presence
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri Rama
हनूमन्तम्,-,हनूमत्{2}{पुं-ए.},हनूमत्+{को2},हनुमान् को,to Hanuman
व्यसर्जयत्,B-v,वि सृज्+णिच्{कर्तरि लङ् प्रपु एक},वि सृज्+णिच्{कर्तरि लङ् प्रपु एक},भेजा,"despatched,sent"
9.1.Aपुनः,9.1.C-,9.1.Dपुनः,9.1.Eपुनः,9.1.Fफिर,9.1.Gonce more
आख्यायिकाम्,B-B,आख्यायिका{2}{स्त्री-ए.},आख्यायिका+{को2},वृत्तान्त,past history
जल्पन्,B-A,जल्पत्{1}{पुं-ए.},जल्पत्+{0/ने},कहते हुए,narrating
सुग्रीव-सहितः,B-A,सुग्रीव-सहित{1}{पुं-ए.},सुग्रीव-सहित+{0/ने},सुग्रीव-सहितः,accompanied by Sugriva
तदा,-,तदा,तदा,तदा,then
पुष्पकम्,B-B,पुष्पक{2}{नपुं-ए.},पुष्पक+{को2},पुष्पकम्,Pushpakam
तत्,B-B,तद्{2}{नपुं-ए.},तद्+{को2},तत्,that
समारुह्य,-,समारुह्य,समारुह्य,बैठकर,having boarded
नन्दि-ग्रामम्,-,नन्दि-ग्राम{2}{पुं-ए.},नन्दि-ग्राम+{को2},नन्दि-ग्रामम्,to Nandigrama
ययौ,B-v,या{कर्तरि लिट् प्रपु एक},या{कर्तरि लिट् प्रपु एक},पहुँचे,flew
तदा,-,तदा,तदा,उसी दिन,then
10.1.Aनन्दि-ग्रामे,10.1.CB-G,10.1.Dनन्दिग्राम{7}{पुं-ए.},10.1.Eनन्दिग्राम+{में/पर},10.1.Fनन्दि-ग्रामे,10.1.Gat Nandigrama
जटाम्,B-B,जटा{2}{स्त्री-ए.},जटा+{को2},जटा को,matted hair
हित्वा,-,हित्वा,हित्वा,त्यागकर,having disentangled
भ्रातृभिः,B-C,भ्रातृ{3}{पुं-ब.},भ्रातृ+{से3},भ्रातृभिः,with brothers
सहितः,B-A,सहित{1}{पुं-ए.},सहित+{0/ने},सहितः,accompanied
अनघः,-,अनघ{1}{पुं-ए.},अनघ+{0/ने},अनघः,the sinless
रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri Rama
सीताम्,B-B,सीता{2}{स्त्री-ए.},सीता+{को2},सीता को,Sita
अनु-प्राप्य,-,अनुप्राप्य,अनुप्राप्य,अनु-प्राप्त कर,having got back
राज्यम्,B-B,राज्य{2}{नपुं-ए.},राज्य+{को2},राज्य को,(his) kingdom
पुनः,-,पुनः,पुनः,फिर,once more
अवाप्तवान्,B-A,अवाप्तवत्{1}{पुं-ए.},अवाप्तवत्+{0/ने},अवाप्तवान्,regained
11.1.Aप्रहृष्ट-मुदितः,11.1.C-,11.1.Dप्रहृष्ट-मुदित{1}{पुं-ए.},11.1.Eप्रहृष्ट-मुदित+{0/ने},11.1.Fप्रहृष्ट-मुदितः,11.1.Gmuch delighted
लोकः,B-A,लोक{1}{पुं-ए.},लोक+{0/ने},लोग,people
तुष्टः,B-A,तुष्ट{1}{पुं-ए.},तुष्ट+{0/ने},सन्तुष्ट,cheerful or contended
पुष्टः,B-A,पुष्ट{1}{पुं-ए.},पुष्ट+{0/ने},पुष्ट,well-fed
सु-धार्मिकः,-,सु-धार्मिक{1}{पुं-ए.},सु-धार्मिक+{0/ने},सु-धार्मिकः,exceedingly pious
निरामयः,-,निरामय{1}{पुं-ए.},निरामय+{0/ने},निरामयः,free from mental agony
हि,-,हि,हि,तो,positively
अरोगः,B-A,अरोग{1}{पुं-ए.},अरोग+{0/ने},शारीरिक रोग रहित,free from bodily ailment
च,-,च,च,और,and
दुर्भिक्ष-भय-वर्जितः,B-A,दुर्भिक्ष-भय-वर्जित{1}{पुं-ए.},दुर्भिक्ष-भय-वर्जित+{0/ने},दुर्भिक्ष-भय-वर्जितः,rid of famine and fear
1.Aश्लोक,1.C-,1.Dश्लोक,1.Eश्लोक,1.Fश्लोक,1.Gश्लोक
2.1.Aन,2.1.C-,2.1.Dन,2.1.Eन,2.1.Fन,2.1.Gnor
पुत्र-मरणं,-,पुत्र-मरण{1}{नपुं-ए.},पुत्र-मरण+{को2},पुत्र मरण,death of (their) son or daughter
केचित्,-,केचित्,केचित्,कोई,any
